"Facility Name","Facility Name#",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Lake Winds","Lake Winds","Lake Winds","Definition:Commercial Scale Wind","Consumers Energy","Consumers Energy","Consumers Energy","Ludington MI","100.8 MW",56,2012,Vestas,"In Service","43.83972728°, -86.38154984°"
Lakefield,Lakefield,Lakefield,"Definition:Commercial Scale Wind",EnXco,EnXco,"Indianapolis Power and Light","Jackson County MN","205.5 MW",137,2011,"GE Energy","In Service","43.6887888°, -95.1348456°"
"Laker Elementary School Wind Farm","Laker Elementary School Wind Farm","Laker Elementary School","Definition:Community Wind","Laker Elementary",,"Laker Elementary","Pigeon MI","0.2 MW",3,2006,Nordtank,"In Service","43.817384°, -83.228218°"
"Lakeshore Technical College Wind Farm","Lakeshore Technical College Wind Farm","Lakeshore Technical College","Definition:Small Scale Wind","Lakeshore Technical College",DisGen,"Lakeshore Technical College","Cleveland WI","0.07 MW",1,2004,EMS,"In Service","43.924176°, -87.75139°"
"Lakeview Ridge Wind Farm","Lakeview Ridge Wind Farm","Lakeview Ridge","Definition:Commercial Scale Wind","Otter Tail Power","Otter Tail Power/EMS","Otter Tail Power","Hendricks in Lincoln County MN","0.9 MW",1,2001,"NEG Micon","In Service","44.422756°, -96.432545°"
"Lakota Ridge Wind Farm","Lakota Ridge Wind Farm","Lakota Ridge","Definition:Commercial Scale Wind","Edison Mission Group owns majority","Northern Alternative Energy","Xcel Energy","Hendricks in Lincoln County MN","11.25 MW",15,1999,"NEG Micon","In Service","44.422756°, -96.432545°"
"Lalamilo Wells II Wind Farm","Lalamilo Wells II Wind Farm","Lalamilo Wells II","Definition:Commercial Scale Wind",,"Lalamilo Ventures","Hawaiian Electric Light Co.","Big Island HI","1.1 MW",20,1985,Jacobs,"In Service","19.9875°, -155.765556°"
"Lalamilo Wells Wind Farm","Lalamilo Wells Wind Farm","Lalamilo Wells","Definition:Commercial Scale Wind","Hawaiian Electric Light Co.","Lalamilo Ventures","Hawaii Electric Light Co.","Big Island HI","0.46 MW",26,1985,Jacobs,"In Service","19.9875°, -155.765556°"
"Lamar Wind Energy Project I","Lamar Wind Energy Project I","Lamar Wind Energy Project","Definition:Commercial Scale Wind","Lamar Light & Power","Lamar Light & Power","Arkansas River Power Authority","Prowers County CO","4.5 MW",3,2004,"GE Energy","In Service","38.033395°, -102.538862°"
"Lamar Wind Energy Project II","Lamar Wind Energy Project II","Lamar Wind Energy Project","Definition:Commercial Scale Wind","Arkansas River Power Authority","Arkansas River Power Authority","Arkansas River Power Authority","Baca County CO","1.5 MW",1,2004,"GE Energy","In Service","38.032361°, -102.529578°"
"Lamar Wind Energy Project III","Lamar Wind Energy Project III","Lamar Wind Energy Project","Definition:Commercial Scale Wind","Arkansas River Power Authority","Arkansas River Power Authority","Arkansas River Power Authority","Prowers County CO","1.5 MW",1,2004,"GE Energy","In Service","38.0326°, -102.532°"
"Langdon II - FPL Wind Farm","Langdon II - FPL Wind Farm","Langdon II - FPL","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Otter Tail/Minnkota Power Coop","Cavalier County ND","40.5 MW",27,2008,"GE Energy","In Service","48.687255°, -98.309298°"
"Langdon II - Otter Tail Wind Farm","Langdon II - Otter Tail Wind Farm","Langdon II - Otter Tail","Definition:Commercial Scale Wind","Otter Tail Power Co.","NextEra Energy Resources/Otter Tail Power Co.","Otter Tail Power Co.","Cavalier County ND","40.5 MW",27,2008,"GE Energy","In Service","48.687255°, -98.309298°"
"Langdon Wind Project (4Q07)","Langdon Wind Project (4Q07)","Langdon Wind Project (4Q07)","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Otter Tail Power/Minnkota Power Cooperative","Dickey County ND","118.5 MW",79,2007,"GE Energy","In Service","48.682135°, -98.318582°"
"Langford Wind Farm","Langford Wind Farm","Langford Wind Farm","Definition:Commercial Scale Wind",,Padoma,Market,"Southwest of Christoval TX","150 MW",100,2009,"GE Energy","In Service","31.157338°, -100.609624°"
"Laredo Ridge Wind Farm","Laredo Ridge Wind Farm","Laredo Ridge Wind Farm","Definition:Commercial Scale Wind","Midwest Wind Energy","Midwest Wind Energy","Nebraska Public Power District","Boone County NE","81 MW",54,2010,"GE Energy","In Service","41.869644°, -98.03205°"
Laurel,Laurel,Laurel,"Definition:Commercial Scale Wind","MidAmerican Energy","RPM Access Wind Development","MidAmerican Energy","Haverhill IA","119.6 MW",52,2011,Siemens,"In Service","41.89096884°, -92.97214508°"
"Laurel Hill","Laurel Hill","Laurel Hill","Definition:Commercial Scale Wind","Duke Energy Carolinas, LLC","Duke Enegy","Delaware Municipal Electric Corp","Lycoming County PA","69 MW",30,2012,Siemens,"In Service","41.5245155°, -77.04111099°"
"Laurel Mountain","Laurel Mountain","Laurel Mountain","Definition:Commercial Scale Wind","AES Corp.","AES Corp.",Merchant,"Belington WV","97.6 MW",61,2011,"GE Energy","In Service","39.00702933°, -79.88500357°"
"Leaning Juniper 2A","Leaning Juniper 2A","Leaning Juniper 2A","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Bonneville Power Admin","3 miles southwest of Arlington OR","90.3 MW",43,2011,"Suzlon Energy Company","In Service","45.646628°, -120.24145°"
"Leaning Juniper 2B","Leaning Juniper 2B","Leaning Juniper 2B","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","Bonneville Power Admin","3 miles southwest of Arlington OR","111 MW",74,2011,"GE Energy","In Service","45.646628°, -120.24145°"
"Leaning Juniper Wind Farm","Leaning Juniper Wind Farm","Leaning Juniper","Definition:Commercial Scale Wind",PacifiCorp,"PPM Energy Inc",PacifiCorp,"Gilliam County OR","100.5 MW",67,2006,"GE Energy","In Service","45.67598°, -120.242715°"
"Lee-Dekalb Wind Energy Center","Lee-Dekalb Wind Energy Center","Lee-Dekalb Wind Energy Center","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Lee and Dekalb Counties IL","217.5 MW",145,2009,"GE Energy","In Service","41.710783°, -89.041507°"
"Lempster Wind Farm","Lempster Wind Farm","Lempster Wind Farm","Definition:Commercial Scale Wind",Iberdrola,Iberdrola,,"Sullivan County NH","24 MW",12,2008,Gamesa,"In Service","43.233333°, -72.15°"
"Lenox Municipal Utilities Wind Farm","Lenox Municipal Utilities Wind Farm","Lenox Municipal Utilities","Definition:Commercial Scale Wind","Lenox Municipal Utilities","Lenox Municipal Utilities","Lenox Municipal Utilities","Lenox IA","0.75 MW",1,2003,"NEG Micon","In Service","40.880592°, -94.559029°"
"Leon Sneve Wind Project Wind Farm","Leon Sneve Wind Project Wind Farm","Leon Sneve Wind Project","Definition:Commercial Scale Wind","Leon Sneve","Diversified Energy Solutions","Alliant Energy","Wilmont County, MN","1.5 MW",1,2002,"NEG Micon","In Service","43.762°, -95.8274°"
"Leupp School Inc","Leupp School Inc","Leupp School Inc #3","Definition:Community Wind",,,,AZ,,1,,SkyStream,,"35.297215°, -111.008453°"
"Lewandoski Wind Farm","Lewandoski Wind Farm","Lewandoski Wind Farm","Definition:Community Wind","Bob Lewandowski","Bob Lewandowski",,"Southeast of Boise ID","0.216 MW",2,2003,,"In Service","43.612631°, -116.211076°"
"Lewistown High Schools Wind Project","Lewistown High Schools Wind Project","Lewistown High Schools","Definition:Community Wind",,,,MT,,1,,SkyStream,,"47.054138°, -109.423325°"
"Liberty Turbine Test Wind Farm","Liberty Turbine Test Wind Farm","Liberty Turbine Test","Definition:Commercial Scale Wind",,"Clipper Windpower","Platte River Power Authority","Near Medicine Bow WY","2.5 MW",1,2005,"Clipper Windpower","In Service","41.96251°, -106.415918°"
"Lime Wind","Lime Wind","Lime Wind","Definition:Commercial Scale Wind","Joseph Millworks Inc","Joseph Millworks Inc","Idaho Power","Huntington OR","3 MW",6,2011,Nordtank,"In Service","44.406667°, -117.310278°"
"Limon I","Limon I","Limon I","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Xcel Energy","Limon CO","200 MW",35,2012,"GE Energy","In Service","39.38669007°, -103.6474657°"
"Limon II","Limon II","Limon II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Xcel Energy","Limon CO","200 MW",35,2012,"GE Energy","In Service","39.33323523°, -103.5521507°"
"Lincoln County Wind Farms","Lincoln County Wind Farms","Lincoln County Wind Farms","Definition:Commercial Scale Wind","Jay Gislason","Diversified Energy Solutions","Otter Tail Power","Lincoln County MN","0.9 MW",1,2003,"NEG Micon","In Service","44.4039°, -96.2646°"
"Lincoln Electric","Lincoln Electric","Lincoln Electric","Definition:Commercial Scale Wind","Lincoln Electric","Lincoln Electric","Lincoln Electric","Euclid OH","2.5 MW",1,2011,Kenersys,"In Service","41.58468216°, -81.52579665°"
"Lincoln Wind Energy Facility I","Lincoln Wind Energy Facility I","Lincoln Wind Energy Facility","Definition:Community Wind","Lincoln Electric System","Lincoln Electric System","Lincoln Electric System","Salt Valley north of Lincoln NE","0.66 MW",1,1998,Vestas,"In Service","40.7649°, -96.7265°"
"Lincoln Wind Energy Facility II","Lincoln Wind Energy Facility II","Lincoln Wind Energy Facility","Definition:Community Wind","Lincoln Electric System","Lincoln Electric System","Lincoln Electric System","Salt Valley north of Lincoln NE","0.66 MW",1,1999,Vestas,"In Service","40.7649°, -96.7265°"
"Linden Ranch","Linden Ranch","Linden Ranch","Definition:Commercial Scale Wind",SCPPA,EnXco,,"Klickitat County","50 MW",25,2010,REPower,"In Service","45.757°, -120.795998°"
"Little Cedar","Little Cedar","Little Cedar","Definition:Commercial Scale Wind","Buffalo Center Wind LLC","Paul Roeder","Dairyland Power Cooperative","Little Cedar IA","1.5 MW",1,2011,Goldwind,"In Service","43.3858262°, -92.7595209°"
"Little Pringle I","Little Pringle I","Little Pringle I","Definition:Commercial Scale Wind","SWI Wind Farms","SWI Wind Farms","Xcel Energy","50 miles north of Amarillo TX","10 MW",5,2010,DeWind,"In Service","35.803356°, -101.43352°"
"Little Pringle II","Little Pringle II","Little Pringle II","Definition:Commercial Scale Wind","SWI Wind Farms","SWI Wind Farms","Xcel Energy","50 miles north of Amarillo TX","10 MW",5,2010,DeWind,"In Service","35.803356°, -101.43352°"
"Llano Estacado Wind Ranch at Texico","Llano Estacado Wind Ranch at Texico","Llano Estacado Wind Ranch at Texico","Definition:Commercial Scale Wind","Cielo Wind Power","Cielo Wind Power- RES","Xcel Energy","Curry County NM","0.66 MW",1,1999,Vestas,"In Service","34.6283°, -103.387°"
"Llano Estacado Wind Ranch at Texico phase II","Llano Estacado Wind Ranch at Texico phase II","Llano Estacado Wind Ranch at Texico phase II","Definition:Commercial Scale Wind","Cielo Wind Power","Cielo Wind Power","Xcel Energy","Curry County NM","1.32 MW",2,2003,Vestas,"In Service","34.6283°, -103.387°"
"Llano Estacado Wind Ranch at White Deer","Llano Estacado Wind Ranch at White Deer","Llano Estacado Wind Ranch at White Deer","Definition:Commercial Scale Wind","Shell Wind Energy","Cielo Wind Power","Xcel Energy","White Deer TX","80 MW",80,2001,Mitsubishi,"In Service","35.4613°, -101.238°"
"Locust Ridge II Wind Farm","Locust Ridge II Wind Farm","Locust Ridge II","Definition:Commercial Scale Wind",Gamesa,Gamesa,"Hospital Customers",PA,"102 MW",51,2009,Gamesa,"In Service","40.7067°, -76.2238°"
"Locust Ridge Wind Farm","Locust Ridge Wind Farm","Locust Ridge Wind Farm","Definition:Commercial Scale Wind","Noble Environmental Power","Community Energy","PPL Corp.","Schuylkill County PA","26 MW",13,2006,Gamesa,"In Service","40.821363°, -76.148216°"
"Loess Hills Wind Energy Center","Loess Hills Wind Energy Center","Loess Hills Wind Energy Center","Definition:Commercial Scale Wind","Wind Capital Group/John Deere Capital","Wind Capital Group/John Deere Capital","Missouri Joint Municipal Electric Utility Commission","Rock Port MO","5 MW",4,2008,"Suzlon Energy Company","In Service","40.410864°, -95.514861°"
"Logan View Public Schools Wind Project","Logan View Public Schools Wind Project","Logan View Public Schools","Definition:Community Wind",,,,NE,,1,,SkyStream,,"41.651546°, -96.50457°"
"Lone Star I (4Q07) Wind Farm","Lone Star I (4Q07) Wind Farm","Lone Star I (4Q07)","Definition:Commercial Scale Wind",Horizon,RES/Horizon,"Direct Energy","Callahan and Shackleford Counties TX","18 MW",9,2007,Gamesa,"In Service","32.594885°, -99.506464°"
"Lone Star I (Q2) Wind Farm","Lone Star I (Q2) Wind Farm","Lone Star I (Q2)","Definition:Commercial Scale Wind",Horizon,RES/Horizon,"Direct Energy","Callahan and Shackelford counties TX","72 MW",36,2007,Gamesa,"In Service","32.594885°, -99.506464°"
"Lone Star I (Q3) Wind Farm","Lone Star I (Q3) Wind Farm","Lone Star I (Q3)","Definition:Commercial Scale Wind",Horizon,RES/Horizon,"Direct Energy","Callahan and Shackelford counties TX","110 MW",55,2007,Gamesa,"In Service","32.594885°, -99.506464°"
"Lone Star II (1Q08) Wind Farm","Lone Star II (1Q08) Wind Farm","Lone Star II (1Q08)","Definition:Commercial Scale Wind",Horizon,RES/Horizon,JAron,"Callahan and Shackelford counties TX","104 MW",52,2008,Gamesa,"In Service","32.594885°, -99.506464°"
"Lone Star II (2Q08) Wind Farm","Lone Star II (2Q08) Wind Farm","Lone Star II (2Q08)","Definition:Commercial Scale Wind",Horizon,RES/Horizon,JAron,"Callahan and Shackleford Counties TX","52 MW",26,2008,Gamesa,"In Service","32.594885°, -99.506464°"
"Lone Star II (4Q07) Wind Farm","Lone Star II (4Q07) Wind Farm","Lone Star II (4Q07)","Definition:Commercial Scale Wind","Horizon Wind Energy",RES/Horizon,JAron,"Callahan and Shackleford Counties TX","44 MW",22,2007,Gamesa,"In Service","32.594885°, -99.506464°"
"Long Island New York City Offshore Wind Farm","Long Island New York City Offshore Wind Farm","Long Island New York City Offshore Wind Farm","Definition:Offshore Wind","Long Island-New York City Offshore Wind Collaborative","Long Island Power Authority (LIPA) / ConEdison (now part of LINYCOffshore Wind C","New York Power Authority","Offshore from the Rockaway Peninsula NY","700 MW",,,Undetermined,Proposed,"40.41°, -73.72°"
"Lookout Wind Farm","Lookout Wind Farm",Lookout,"Definition:Commercial Scale Wind","Edison Mission Group","Edison Mission Group",Market,"Northampton and Brothersvalley Townships PA","37.8 MW",18,2008,"Suzlon Energy Company","In Service","39.850807°, -78.936954°"
"Loraine Phase 1","Loraine Phase 1","Loraine Phase 1","Definition:Commercial Scale Wind","Third Planet Wind Power","Third Planet Wind Power",,"Colorado City TX","100.5 MW",67,2010,"GE Energy","In Service","32.4188777°, -100.6750631°"
"Loraine Phase 2","Loraine Phase 2","Loraine Phase 2","Definition:Commercial Scale Wind","Third Planet Wind Power","Third Planet Wind Power",Merchant,"Colorado City TX","150 MW",100,2011,"GE Energy","In Service","32.45223664°, -100.6298304°"
"Loranger Power Generation Wind Farm","Loranger Power Generation Wind Farm","Loranger Power Generation","Definition:Commercial Scale Wind","Loranger Power Generation","Loranger Power Generation",,"Berlin NH","1.05 MW",3,2006,,"In Service","44.501183°, -71.231588°"
"Los Vientos I","Los Vientos I","Los Vientos I","Definition:Commercial Scale Wind","Duke Energy Carolinas, LLC","Duke Enegy","City of San Antonio, Texas (Utility Company)","Lyford TX","200.1 MW",87,2012,Siemens,"In Service","26.326545°, -97.587158°"
"Los Vientos II","Los Vientos II","Los Vientos II","Definition:Commercial Scale Wind","Duke Energy Carolinas, LLC","Duke Enegy","Austin Energy","Lyford TX","201.6 MW",84,2012,Mitsubishi,"In Service","26.33903762°, -97.66176224°"
"Lost Creek Wind Farm","Lost Creek Wind Farm","Lost Creek Wind Farm","Definition:Commercial Scale Wind","Wind Capital Group","Wind Capital Group","Associated Electric Cooperative","DeKalb County MO","150 MW",100,2010,"GE Energy","In Service","39.98080324°, -94.55009937°"
"Lost Lakes Wind Farm","Lost Lakes Wind Farm","Lost Lakes Wind Farm","Definition:Commercial Scale Wind",Horizon-EDPR,Horizon-EDPR,Market,"Dickinson County IA","100.65 MW",61,2009,Vestas,"In Service","43.32401°, -95.264354°"
"Loup City High School Wind Project","Loup City High School Wind Project","Loup City High School","Definition:Community Wind",,,,NE,,1,,SkyStream,,"41.283756°, -98.967415°"
"Lower Snake River I","Lower Snake River I","Lower Snake River I","Definition:Commercial Scale Wind","Puget Sound Energy","Puget Sound Energy","Puget Sound Energy","South of Pomeroy and north of Pataha Creek in Garfield County","343 MW",149,2012,Siemens,"In Service","46.375632°, -117.703257°"
"Lubbock Wind Ranch","Lubbock Wind Ranch","Lubbock Wind Ranch","Definition:Commercial Scale Wind",Cielo,,Merchant,"Lubbock TX","12.5 MW",5,2010,Samsung,"In Service","33.56932604°, -101.7623663°"
"Luray High School Wind Project","Luray High School Wind Project","Luray High School","Definition:Community Wind",,,,VA,,1,2013,SkyStream,"In Service","38.654824518759°, -78.488086983562°"
"Luther College Wind Turbine","Luther College Wind Turbine","Luther College Wind Turbine","Definition:Community Wind","Luther College Wind Energy Project LLC","Luther College","Alliant Energy","Decorah IA","1.6 MW",1,2011,"GE Energy","In Service","43.30919891°, -91.81617737°"
"Luverne Wind Farm (North Field)","Luverne Wind Farm (North Field)","Luverne Wind Farm (North Field)","Definition:Commercial Scale Wind","Otter Tail Power Co.","NextEra Energy Resources",,"Steele County ND","169.5 MW",113,2009,"GE Energy","In Service","47.336147°, -97.943716°"
MUTI,MUTI,MUTI,"Definition:Small Scale Wind",MUTI,,MUTI,"Champaign IL","0.1 MW",1,2010,"Northern Power Systems","In Service","40.15017707°, -88.29139531°"
"MWRA Deer Island Wind","MWRA Deer Island Wind","MWRA Deer Island Wind","Definition:Commercial Scale Wind","MWRA Deer Island",,"MWRA Deer Island","Deer Island MA","1.2 MW",2,2009,,"In Service","42.346751°, -70.957006°"
"Macho Springs Wind Farm","Macho Springs Wind Farm","Macho Springs Wind Farm","Definition:Commercial Scale Wind","Element Power","Element Power","American Electric Power Co., Inc.","Luna County NM","50.4 MW",28,2011,Vestas,Proposed,"32.573639°, -107.456399°"
"Mackinaw City Wind Farm","Mackinaw City Wind Farm","Mackinaw City","Definition:Commercial Scale Wind","Mackinaw Power","Mackinaw Power","Consumers Energy","Mackinaw City MI","1.8 MW",2,2001,"NEG Micon","In Service","45.738212°, -84.738024°"
"Madison Wind Power Project","Madison Wind Power Project","Madison Wind Power Project","Definition:Commercial Scale Wind",Horizon,"Atlantic Renewable/PG&E Generating",Market,"Madison County NY","11.55 MW",7,2000,Vestas,"In Service","42.91455°, -75.569851°"
"Magic Valley","Magic Valley","Magic Valley","Definition:Commercial Scale Wind","E.ON Climate & Renewables North America","E.ON Climate & Renewables North America",,"Raymondville TX","201.6 MW",112,2012,Vestas,"In Service","26.46534829°, -97.6725769°"
"Maiden Winds","Maiden Winds","Maiden Winds","Definition:Commercial Scale Wind","Edison Mission Group owns majority","Dan Juhl","Xcel Energy","West Pipestone MN","8.25 MW",5,2004,Vestas,"In Service","44.000815°, -96.340445°"
"Majestic II","Majestic II","Majestic II","Definition:Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Southwestern Electric Power Co","Amarillo TX","79.6 MW",51,2012,"GE Energy","In Service","35.3672156°, -101.5474892°"
"Majestic Wind Farm","Majestic Wind Farm","Majestic Wind Farm","Definition:Commercial Scale Wind","Babcock & Brown","Babcock & Brown",N/a,"Carson County TX","79.5 MW",53,2009,"GE Energy","In Service","35.46902°, -101.239382°"
Manchester,Manchester,Manchester,"Definition:Small Scale Wind","Private owner","Private owner","Private owner","Near Manchester in Hillsborough County NH","0.05 MW",1,1998,"Atlantic Orient Co.","In Service","42.9911°, -71.463°"
"Manzana Winds","Manzana Winds","Manzana Winds","Definition:Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","San Diego Gas and Electric / City of Santa Clara Silicon Valley Power","Mojave CA","189 MW",126,2012,"GE Energy","In Service","34.932662°, -118.46105°"
"Maple Ridge 1a Wind Farm","Maple Ridge 1a Wind Farm","Maple Ridge 1a","Definition:Commercial Scale Wind","PPM Energy/Horizon Wind Energy","PPM Energy/Horizon Wind Energy",NYSERDA/Market,"Lewis County, New York","33 MW",20,2006,Vestas,"In Service","43.775565°, -75.584614°"
"Maple Ridge Wind Farm (2005 portion)","Maple Ridge Wind Farm (2005 portion)","Maple Ridge Wind Farm (2005 portion)","Definition:Commercial Scale Wind","'PPM Energy/Horizon Wind Energy","'PPM Energy/Horizon Wind Energy",NYSERDA/Market,"Lewis County, New York","136.95 MW",83,2005,Vestas,"In Service","43.775565°, -75.584614°"
"Maple Ridge Wind Farm (2006 portion)","Maple Ridge Wind Farm (2006 portion)","Maple Ridge Wind Farm (2006 portion)","Definition:Commercial Scale Wind","'PPM Energy/Horizon Wind Energy","PPM Energy/Horizon Wind Energy",NYSERDA/Market,"Lewis County, New York","61.05 MW",37,2006,Vestas,"In Service","43.775565°, -75.584614°"
"Maple Ridge Wind Farm phase II","Maple Ridge Wind Farm phase II","Maple Ridge Wind Farm phase II","Definition:Commercial Scale Wind","Horizon/PPM Energy","'PPM Energy/Horizon Wind Energy",NYSERDA/Market,"Lewis County, New York","90.75 MW",55,2006,Vestas,"In Service","43.775565°, -75.584614°"
"Marble River","Marble River","Marble River","Definition:Commercial Scale Wind","EDP Renewables North America LLC","EDP Renewables North America LLC",Merchant,"Churubusco NY","215.25 MW",70,2012,Vestas,"In Service","44.9406848°, -73.9303307°"
"Marengo II Wind Farm","Marengo II Wind Farm","Marengo II","Definition:Commercial Scale Wind",PacifiCorp,"RES Americas",PacifiCorp,,"70.2 MW",39,2008,Vestas,"In Service","46.448343°, -117.851043°"
"Marengo Wind Farm","Marengo Wind Farm","Marengo Wind Farm","Definition:Commercial Scale Wind",PacifiCorp,"RES America",PacifiCorp,"Near Dayton","140.4 MW",78,2007,Vestas,"In Service","46.448343°, -117.851043°"
"Margaretta High School","Margaretta High School","Margaretta High School","Definition:Small Scale Wind","Margaretta High School",,"Margaretta High School","Castalia OH","0.1 MW",1,2010,"Northern Power Systems","In Service","41.39923794°, -82.80122995°"
"Mark Richey Woodworking Wind Farm","Mark Richey Woodworking Wind Farm","Mark Richey Woodworking Wind Farm","Definition:Community Wind","Mark Richey Woodworking","Mark Richey Woodworking","Mark Richey Woodworking","Newburyport MA","0.6 MW",1,2009,,"In Service","42.80211°, -70.880604°"
"Mars Hill (2006) Wind Farm","Mars Hill (2006) Wind Farm","Mars Hill (2006)","Definition:Commercial Scale Wind","UPC Wind Partners","UPC Wind Partners",Confidential,"Aroostook county ME","9 MW",6,2006,"GE Energy","In Service","46.551388°, -67.808333°"
"Mars Hill (2007) Wind Farm","Mars Hill (2007) Wind Farm","Mars Hill (2007)","Definition:Commercial Scale Wind","UPC Wind Partners","UPC Wind Partners",Confidential,"Aroostook county ME","33 MW",22,2007,"GE Energy","In Service","46.551388°, -67.808333°"
"Marshall Wind Farm","Marshall Wind Farm","Marshall Wind Farm","Definition:Commercial Scale Wind","John Deere Wind Energy",Community,"Missouri River Energy Services","Lyon County MN","18.9 MW",9,2008,"Suzlon Energy Company","In Service","44.331173°, -95.816331°"
"Marshalltown Wind Farm","Marshalltown Wind Farm",Marshalltown,"Definition:Community Wind",,"Consumers Energy","Consumers Energy","Marshalltown IA","0.11 MW",1,2004,Micon,"In Service","42.0518°, -92.9079°"
"Martinsdale Colony North","Martinsdale Colony North","Martinsdale Colony North","Definition:Commercial Scale Wind",,"Two Dot Wind LLC",,"Wheatland MT","0.8 MW",11,2005,Windmatic,"In Service","46.52°, -110.28°"
"Martinsdale Colony South","Martinsdale Colony South","Martinsdale Colony South","Definition:Community Wind",,"Two Dot Wind LLC",,"Wheatland MT","2 MW",8,2007,Mitsubishi,"In Service","46.49°, -110.28°"
"Massachusetts Maritime Academy Wind Farm","Massachusetts Maritime Academy Wind Farm","Massachusetts Maritime Academy","Definition:Community Wind","Massachusetts Maritime Academy","Massachusetts Maritime Academy","Massachusetts Maritime Academy","Buzzards Bay - Cape Cod MA","0.66 MW",1,2006,Vestas,"In Service","41.741349°, -70.62382°"
"Massachusetts Military Reservation","Massachusetts Military Reservation","Massachusetts Military Reservation","Definition:Community Wind","Air Force Center for Engineering & the Environment",,"Air Force Center for Engineering & the Environment","Massachusetts Military Reservation MA","1.5 MW",1,2009,Fuhrlander,"In Service","41.690386°, -70.550108°"
"McAdoo Wind Farm","McAdoo Wind Farm","McAdoo Wind Farm","Definition:Commercial Scale Wind",Invenergy,Invenergy,,"McAdoo TX","150 MW",100,2008,"GE Energy","In Service","33.747757°, -100.996846°"
"McFadden Ridge Wind Farm","McFadden Ridge Wind Farm","McFadden Ridge","Definition:Commercial Scale Wind",PacifiCorp,PacifiCorp,PacifiCorp,"Southwest of Rock River WY","28.5 MW",19,2009,"GE Energy","In Service","41.718626°, -106.107001°"
"McKenna Charter School Wind Project","McKenna Charter School Wind Project","McKenna Charter School","Definition:Community Wind",,,,ID,,1,,SkyStream,,"43.125595°, -115.703819°"
"McKinley Wind Park","McKinley Wind Park","McKinley Wind Park","Definition:Commercial Scale Wind","Detroit Edison","Detroit Edison","Detroit Edison","Pigeon MI","14 MW",9,2012,"GE Energy","In Service","43.87277698°, -83.26126099°"
"McKinney Wal-Mart Wind Farm","McKinney Wal-Mart Wind Farm","McKinney Wal-Mart","Definition:Small Scale Wind",Wal-Mart,"Bergey Windpower",Wal-Mart,"McKinney TX","0.05 MW",1,2005,"Bergey Windpower","In Service","33.220625°, -96.630571°"
"McNeilus Wind Farm I","McNeilus Wind Farm I",McNeilus,"Definition:Commercial Scale Wind",McNeilus,McNeilus,"Xcel Energy","Mower County MN","9 MW",10,2002,"NEG Micon","In Service","43.673251°, -92.665436°"
"McNeilus Wind Farm II","McNeilus Wind Farm II",McNeilus,"Definition:Commercial Scale Wind","G. McNeilus","G. McNeilus","Xcel Energy","Mower County MN","1.65 MW",1,2003,"NEG Micon","In Service","43.673251°, -92.665436°"
"McNeilus Wind Farm III","McNeilus Wind Farm III",McNeilus,"Definition:Commercial Scale Wind","G. McNeilus","G. McNeilus","Dairyland Power /Alliant","Mower County MN","9 MW",6,2003,"NEG Micon","In Service","43.673251°, -92.665436°"
"McNeilus Wind Farm IV","McNeilus Wind Farm IV",McNeilus,"Definition:Commercial Scale Wind","G. McNeilus","G. McNeilus","Xcel Energy","Mower County MN","9.9 MW",6,2004,"NEG Micon","In Service","43.673251°, -92.665436°"
"Meadow Creek","Meadow Creek","Meadow Creek","Definition:Commercial Scale Wind","Ridgeline Energy","Ridgeline Energy","PacifiCorp (Rocky Mountain Power)","Idaho Falls ID","119.7 MW",57,2012,"Suzlon Energy Company","In Service","43.50492362°, -111.8366146°"
"Meadow Lake II","Meadow Lake II","Meadow Lake II","Definition:Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","91.5 MW",61,2010,Acciona,"In Service","40.601111°, -86.864167°"
"Meadow Lake II (3Q10)","Meadow Lake II (3Q10)","Meadow Lake II (3Q10)","Definition:Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","7.5 MW",5,2010,Acciona,"In Service","40.601111°, -86.864167°"
"Meadow Lake III","Meadow Lake III","Meadow Lake III","Definition:Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","103.5 MW",69,2010,"GE Energy","In Service","40.601111°, -86.864167°"
"Meadow Lake IV","Meadow Lake IV","Meadow Lake IV","Definition:Commercial Scale Wind","Horizon Wind Energy","EDP Renewables",,"Brookston IN","98.7 MW",47,2010,"Suzlon Energy Company","In Service","40.601111°, -86.864167°"
